ticker,quarter,earnings_date,original_filename,1_day_return,5_day_return,10_day_return
AMZN,Q4 2019,2020-01-30,2020-Jan-30-AMZN.txt,0.07379135586484763,0.09598115384339324,0.14924523364705547
AMZN,Q1 2016,2016-04-28,2016-Apr-28-AMZN.txt,0.09566443185819667,0.09483381639101889,0.19257472355009664
AMZN,Q3 2019,2019-10-24,2019-Oct-24-AMZN.txt,-0.010922221117825084,-0.002313607277139322,0.004166738071654048
AMZN,Q1 2020,2020-04-30,2020-Apr-30-AMZN.txt,-0.07597409237648933,-0.043003203605663044,-0.03441794502715828
AMZN,Q1 2019,2019-04-25,2019-Apr-25-AMZN.txt,0.025433025529202628,-0.0007517695702735407,-0.0012511845664882222
AMZN,Q2 2017,2017-07-27,2017-Jul-27-AMZN.txt,-0.02481836242119058,-0.05648180896302158,-0.08516249771792844
AMZN,Q2 2018,2018-07-26,2018-Jul-26-AMZN.txt,0.005127223105519673,0.014563028545497311,0.05006638163901841
AMZN,Q3 2018,2018-10-25,2018-Oct-25-AMZN.txt,-0.0781967475165521,-0.06544831175716284,-0.015295948184655524
AMZN,Q4 2015,2016-01-28,2016-Jan-28-AMZN.txt,-0.07609977329164334,-0.15596128780241314,-0.2070197514679845
AMZN,Q4 2017,2018-02-01,2018-Feb-01-AMZN.txt,0.02874097206609712,-0.028417244231958183,0.05162586239602068
AMZN,Q2 2020,2020-07-30,2020-Jul-30-AMZN.txt,0.036960821567137314,0.05672573097076117,0.03576156953721851
AMZN,Q2 2019,2019-07-25,2019-Jul-25-AMZN.txt,-0.01558911678575766,-0.06003589930352801,-0.07139963142103588
AMZN,Q1 2017,2017-04-27,2017-Apr-27-AMZN.txt,0.007197490485894367,0.020851945479875622,0.03183871254482907
AMZN,Q4 2018,2019-01-31,2019-Jan-31-AMZN.txt,-0.05381880772938677,-0.06071927860666704,-0.0559017509880486
AMZN,Q1 2018,2018-04-26,2018-Apr-26-AMZN.txt,0.03600877473825914,0.03565302852212125,0.06002792693240108
AMZN,Q3 2016,2016-10-27,2016-Oct-27-AMZN.txt,-0.051370971531196824,-0.06272295441307099,-0.09284422147656513
AMZN,Q4 2016,2017-02-02,2017-Feb-02-AMZN.txt,-0.03541884643413129,-0.02213228286064454,0.004988376743386307
AMZN,Q2 2016,2016-07-28,2016-Jul-28-AMZN.txt,0.008237933380032257,0.010842293815974478,0.024753842270500304
AMZN,Q3 2017,2017-10-26,2017-Oct-26-AMZN.txt,0.13216381132847,0.1252429617394984,0.1611427702573247
