ticker,quarter,finbert_prepared_remarks_pos,finbert_prepared_remarks_neg,finbert_prepared_remarks_neu,finbert_qa_management_pos,finbert_qa_management_neg,finbert_qa_management_neu,uncertainty_count_qa_management,forward_looking_count_prepared_remarks,forward_looking_count_qa_management,qa_management_length_zscore
ASML,Q1 2016,0.49628743529319763,0.05403577536344528,0.44967684149742126,0.11714453250169754,0.029942303895950317,0.8529132008552551,9,46,74,-0.59934775938801
ASML,Q4 2015,0.6804713606834412,0.0237186960875988,0.2958099842071533,0.12852461636066437,0.04411492869257927,0.8273604512214661,5,41,73,-1.377280243593669
ASML,Q2 2016,0.604182243347168,0.044923409819602966,0.3508942425251007,0.1442452073097229,0.05422352999448776,0.8015312552452087,9,39,61,-1.4821080251532968
ASML,Q3 2016,0.5554438233375549,0.05040322616696358,0.394152969121933,0.13832665979862213,0.028715038672089577,0.8329583406448364,17,36,75,-0.11382961321710225
ASML,Q1 2017,0.7432824969291687,0.017583588138222694,0.23913386464118958,0.180864155292511,0.06547622382640839,0.7536596059799194,6,32,60,0.24479174475004553
ASML,Q4 2016,0.618823766708374,0.08608956634998322,0.29508668184280396,0.13546200096607208,0.04458635672926903,0.8199516534805298,15,42,54,-1.5759013033908587
ASML,Q2 2017,0.7902806997299194,0.01914994604885578,0.19056932628154755,0.1466604471206665,0.04726823419332504,0.8060712814331055,17,36,43,0.6503097418359741
ASML,Q3 2017,0.6800143122673035,0.049660634249448776,0.27032503485679626,0.1815064549446106,0.03893958404660225,0.7795539498329163,12,34,67,0.5399647086153133
ASML,Q1 2018,0.6188561916351318,0.09309280663728714,0.28805091977119446,0.12440267205238342,0.04154239967465401,0.8340549468994141,8,57,66,0.25858487390262813
ASML,Q4 2017,0.6688058972358704,0.1457522213459015,0.18544186651706696,0.10964781045913696,0.05331667140126228,0.8370355367660522,11,36,74,0.6034131027171933
ASML,Q2 2018,0.6969506144523621,0.01514390204101801,0.2879055440425873,0.207858145236969,0.026618776842951775,0.7655230760574341,8,31,89,0.5427233344458299
ASML,Q3 2018,0.6194530725479126,0.014844716526567936,0.36570221185684204,0.15117162466049194,0.036846987903118134,0.8119813799858093,21,53,71,0.6641028709885568
ASML,Q1 2019,0.45589959621429443,0.22345776855945587,0.3206426799297333,0.1452762335538864,0.09419219940900803,0.760531485080719,13,38,70,1.3068626894989062
ASML,Q4 2018,0.610925018787384,0.20148618519306183,0.18758878111839294,0.19423352181911469,0.044878505170345306,0.7608879208564758,12,45,51,-0.1855538848105318
ASML,Q2 2019,0.5546251535415649,0.1258866935968399,0.31948816776275635,0.15495707094669342,0.062006209045648575,0.7830368280410767,16,39,63,-0.047622593284705736
ASML,Q3 2019,0.5558555722236633,0.060601115226745605,0.38354331254959106,0.14144203066825867,0.027759134769439697,0.8307988047599792,26,48,71,1.579966646720042
ASML,Q1 2020,0.5266483426094055,0.19661398231983185,0.27673763036727905,0.1018708124756813,0.10335741937160492,0.7947717308998108,14,44,37,-1.7414188532218497
ASML,Q4 2019,0.7521790862083435,0.029126523062586784,0.21869443356990814,0.3340376019477844,0.07964371144771576,0.5863186717033386,18,37,96,1.2516901728885759
ASML,Q2 2020,0.901397168636322,0.017146680504083633,0.08145619928836823,0.16539178788661957,0.05490169674158096,0.7797065377235413,28,57,51,-0.5193476103030309
