ticker,quarter,finbert_prepared_remarks_pos,finbert_prepared_remarks_neg,finbert_prepared_remarks_neu,finbert_qa_management_pos,finbert_qa_management_neg,finbert_qa_management_neu,uncertainty_count_qa_management,forward_looking_count_prepared_remarks,forward_looking_count_qa_management,qa_management_length_zscore
NVDA,Q2 2017,0.6513903737068176,0.0345982201397419,0.31401142477989197,0.14556719362735748,0.026771867647767067,0.8276609778404236,17,9,44,2.3199864018906013
NVDA,Q4 2016,0.7877246141433716,0.011974284425377846,0.20030108094215393,0.17165660858154297,0.04260233789682388,0.7857410311698914,25,13,48,1.3352471023516266
NVDA,Q1 2017,0.6963326334953308,0.059981901198625565,0.2436855435371399,0.14259259402751923,0.02747037261724472,0.8299371004104614,12,14,30,-0.05661421609433253
NVDA,Q3 2017,0.7823948860168457,0.03142886236310005,0.18617625534534454,0.11184032261371613,0.024602670222520828,0.8635570406913757,41,15,41,0.19344550110234315
NVDA,Q2 2018,0.7248095870018005,0.04632085934281349,0.22886961698532104,0.20475473999977112,0.021617954596877098,0.7736273407936096,15,16,49,0.3453412797300759
NVDA,Q4 2017,0.5628678202629089,0.021207323297858238,0.4159248173236847,0.13301533460617065,0.021346120163798332,0.8456385731697083,12,19,37,-0.2632751393973703
NVDA,Q1 2018,0.7541984915733337,0.017396768555045128,0.2284046709537506,0.11129030585289001,0.030413521453738213,0.8582961559295654,12,15,27,0.01778371629476106
NVDA,Q3 2018,0.8320256471633911,0.01112443394958973,0.1568499058485031,0.1396734118461609,0.019376680254936218,0.8409499526023865,11,26,33,0.12731400564537107
NVDA,Q2 2019,0.5252726674079895,0.10471075773239136,0.37001657485961914,0.17576433718204498,0.02381506748497486,0.8004205822944641,20,22,30,-0.9101238293358784
NVDA,Q4 2018,0.6497657299041748,0.07160414010286331,0.27863016724586487,0.13260364532470703,0.026079026982188225,0.841317355632782,34,20,31,-0.49990189657934847
NVDA,Q1 2019,0.6734656691551208,0.011723367497324944,0.31481093168258667,0.15815334022045135,0.03089444898068905,0.8109523057937622,13,19,25,-0.1134459700026679
NVDA,Q3 2019,0.5193134546279907,0.10397390276193619,0.3767126202583313,0.18965011835098267,0.0666811615228653,0.7436686158180237,15,21,32,-0.8718915585248165
NVDA,Q2 2020,0.5037501454353333,0.23942826688289642,0.2568216323852539,0.13426382839679718,0.023481003940105438,0.842255175113678,17,13,26,-0.48233571809859027
NVDA,Q4 2019,0.46318572759628296,0.40870437026023865,0.1281098872423172,0.23764543235301971,0.023599183186888695,0.7387554049491882,12,27,27,-0.7964603215192076
NVDA,Q1 2020,0.5175114274024963,0.15157213807106018,0.3309164345264435,0.1648193895816803,0.022340381518006325,0.8128402233123779,10,35,43,-0.3883049979957081
NVDA,Q3 2020,0.32135123014450073,0.35215577483177185,0.3264929950237274,0.18194261193275452,0.08364126086235046,0.734416127204895,17,13,18,-0.5722332197354117
NVDA,Q2 2021,0.5474115610122681,0.17438653111457825,0.2782018780708313,0.11046861112117767,0.05767490714788437,0.8318565487861633,15,24,30,-0.9834884571084568
NVDA,Q4 2020,0.7053693532943726,0.13323603570461273,0.1613946557044983,0.1465836763381958,0.032884057611227036,0.8205323219299316,14,17,41,-0.8047267584513291
NVDA,Q1 2021,0.5064414739608765,0.08362797647714615,0.409930557012558,0.1481170356273651,0.030300218611955643,0.8215827941894531,29,28,26,2.4036840758283318
